dataset,model,seed,R2
electricity,CNN-LSTM,42,0.6919
electricity,CNN-LSTM,123,0.7003
electricity,CNN-LSTM,456,0.6849
electricity,LSTM,42,0.7051
electricity,LSTM,123,0.6812
electricity,LSTM,456,0.6953
electricity,Ultra-LSNT-Lite,42,0.940199731535861
electricity,Ultra-LSNT-Lite,123,0.940199731535861
electricity,Ultra-LSNT-Lite,456,0.940199731535861
wind_cn,CNN-LSTM,42,0.9508
wind_cn,CNN-LSTM,123,0.9521
wind_cn,CNN-LSTM,456,0.9508
wind_cn,LSTM,42,0.9482
wind_cn,LSTM,123,0.9557
wind_cn,LSTM,456,0.9559
wind_cn,Ultra-LSNT-Lite,42,0.8905
wind_cn,Ultra-LSNT-Lite,123,0.8959
wind_cn,Ultra-LSNT-Lite,456,0.8932
